slug,title,source_filename,size_bytes,paper_url,manifest_status
a-call-to-reflect-on-evaluation-practices-for-age-estimation-comparative-analysi__呼吁反思年龄估计的评估实践最先进技术和统一基准的,A Call to Reflect on Evaluation Practices for Age Estimation: Comparative Analysis of the State-of-the-Art and a Unified Benchmark,A Call to Reflect on Evaluation Practices for Age Estimation Comparative Analysis of the State-of-the-Art and a Unified Benchmark.pdf,718712,https://openaccess.thecvf.com/content/CVPR2024/papers/Paplham_A_Call_to_Reflect_on_Evaluation_Practices_for_Age_Estimation_CVPR_2024_paper.pdf,skipped_exists
a-dynamic-kernel-prior-model-for-unsupervised-blind-image-super-resolution__无监督盲图像超分辨率的动态核先验模型,A Dynamic Kernel Prior Model for Unsupervised Blind Image Super-Resolution,A Dynamic Kernel Prior Model for Unsupervised Blind Image Super-Resolution.pdf,7187144,https://openaccess.thecvf.com/content/CVPR2024/papers/Yang_A_Dynamic_Kernel_Prior_Model_for_Unsupervised_Blind_Image_Super-Resolution_CVPR_2024_paper.pdf,skipped_exists
a-noisy-elephant-in-the-room-is-your-out-of-distribution-detector-robust-to-labe__房间里吵闹的大象您的分布式检测器是否能够稳健地标,A Noisy Elephant in the Room: Is Your Out-of-Distribution Detector Robust to Label Noise?,A Noisy Elephant in the Room Is Your Out-of-Distribution Detector Robust to Label Noise.pdf,2410361,https://openaccess.thecvf.com/content/CVPR2024/papers/Humblot-Renaux_A_Noisy_Elephant_in_the_Room_Is_Your_Out-of-Distribution_Detector_CVPR_2024_paper.pdf,downloaded
a-pedestrian-is-worth-one-prompt-towards-language-guidance-person-re-identificat__行人值得一提走向语言指导的行人重新识别,A Pedestrian is Worth One Prompt: Towards Language Guidance Person Re-Identification,A Pedestrian is Worth One Prompt Towards Language Guidance Person Re-Identification.pdf,2548449,https://openaccess.thecvf.com/content/CVPR2024/papers/Yang_A_Pedestrian_is_Worth_One_Prompt_Towards_Language_Guidance_Person_CVPR_2024_paper.pdf,skipped_exists
a-recipe-for-scaling-up-text-to-video-generation-with-text-free-videos__使用无文本视频扩大文本到视频生成的方法,A Recipe for Scaling up Text-to-Video Generation with Text-free Videos,A Recipe for Scaling up Text-to-Video Generation with Text-free Videos.pdf,8660729,https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_A_Recipe_for_Scaling_up_Text-to-Video_Generation_with_Text-free_Videos_CVPR_2024_paper.pdf,downloaded
a-simple-baseline-for-efficient-hand-mesh-reconstruction__高效手部网格重建的简单基线,A Simple Baseline for Efficient Hand Mesh Reconstruction,A Simple Baseline for Efficient Hand Mesh Reconstruction.pdf,4878041,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhou_A_Simple_Baseline_for_Efficient_Hand_Mesh_Reconstruction_CVPR_2024_paper.pdf,skipped_exists
a-simple-recipe-for-contrastively-pre-training-video-first-encoders-beyond-16-fr__对超过16帧的视频优先编码器进行对比预训练的简单,A Simple Recipe for Contrastively Pre-training Video-First Encoders Beyond 16 Frames,A Simple Recipe for Contrastively Pre-training Video-First Encoders Beyond 16 Frames.pdf,865290,https://openaccess.thecvf.com/content/CVPR2024/papers/Papalampidi_A_Simple_Recipe_for_Contrastively_Pre-training_Video-First_Encoders_Beyond_16_CVPR_2024_paper.pdf,skipped_exists
a-simple-recipe-for-language-guided-domain-generalized-segmentation__语言引导领域广义分割的简单方法,A Simple Recipe for Language-guided Domain Generalized Segmentation,A Simple Recipe for Language-guided Domain Generalized Segmentation.pdf,10221601,https://openaccess.thecvf.com/content/CVPR2024/papers/Fahes_A_Simple_Recipe_for_Language-guided_Domain_Generalized_Segmentation_CVPR_2024_paper.pdf,skipped_exists
a-subspace-constrained-tyler-s-estimator-and-its-applications-to-structure-from__子空间约束泰勒估计器及其在运动结构中的应用,A Subspace-Constrained Tyler's Estimator and its Applications to Structure from Motion,A Subspace-Constrained Tyler's Estimator and its Applications to Structure from Motion.pdf,1399819,https://openaccess.thecvf.com/content/CVPR2024/papers/Yu_A_Subspace-Constrained_Tylers_Estimator_and_its_Applications_to_Structure_from_CVPR_2024_paper.pdf,skipped_exists
a-theory-of-joint-light-and-heat-transport-for-lambertian-scenes__朗伯场景的联合光热传输理论,A Theory of Joint Light and Heat Transport for Lambertian Scenes,A Theory of Joint Light and Heat Transport for Lambertian Scenes.pdf,3670634,https://openaccess.thecvf.com/content/CVPR2024/papers/Ramanagopal_A_Theory_of_Joint_Light_and_Heat_Transport_for_Lambertian_CVPR_2024_paper.pdf,skipped_exists
a-unified-approach-for-text-and-image-guided-4d-scene-generation__文本和图像引导4D场景生成的统一方法,A Unified Approach for Text- and Image-guided 4D Scene Generation,A Unified Approach for Text- and Image-guided 4D Scene Generation.pdf,3959232,https://openaccess.thecvf.com/content/CVPR2024/papers/Zheng_A_Unified_Approach_for_Text-_and_Image-guided_4D_Scene_Generation_CVPR_2024_paper.pdf,skipped_exists
a-unified-diffusion-framework-for-scene-aware-human-motion-estimation-from-spars__基于稀疏信号的场景感知人体运动估计的统一扩散框架,A Unified Diffusion Framework for Scene-aware Human Motion Estimation from Sparse Signals,A Unified Diffusion Framework for Scene-aware Human Motion Estimation from Sparse Signals.pdf,4525933,https://openaccess.thecvf.com/content/CVPR2024/papers/Tang_A_Unified_Diffusion_Framework_for_Scene-aware_Human_Motion_Estimation_from_CVPR_2024_paper.pdf,skipped_exists
a-unified-framework-for-microscopy-defocus-deblur-with-multi-pyramid-transformer__具有多金字塔变压器和对比学习的显微镜散焦去模糊统,A Unified Framework for Microscopy Defocus Deblur with Multi-Pyramid Transformer and Contrastive Learning,A Unified Framework for Microscopy Defocus Deblur with Multi-Pyramid Transformer and Contrastive Learning.pdf,3016110,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_A_Unified_Framework_for_Microscopy_Defocus_Deblur_with_Multi-Pyramid_Transformer_CVPR_2024_paper.pdf,skipped_exists
a-b-bnn-add-bit-operation-only-hardware-friendly-binary-neural-network__ABBNN仅加位操作硬件友好的二元神经网络,A&B BNN: Add&Bit-Operation-Only Hardware-Friendly Binary Neural Network,A&B BNN Add&Bit-Operation-Only Hardware-Friendly Binary Neural Network.pdf,2316093,https://openaccess.thecvf.com/content/CVPR2024/papers/Ma_AB_BNN_AddBit-Operation-Only_Hardware-Friendly_Binary_Neural_Network_CVPR_2024_paper.pdf,skipped_exists
accept-the-modality-gap-an-exploration-in-the-hyperbolic-space__接受模态差距双曲空间的探索,Accept the Modality Gap: An Exploration in the Hyperbolic Space,Accept the Modality Gap An Exploration in the Hyperbolic Space.pdf,1293383,https://openaccess.thecvf.com/content/CVPR2024/papers/Ramasinghe_Accept_the_Modality_Gap_An_Exploration_in_the_Hyperbolic_Space_CVPR_2024_paper.pdf,skipped_exists
accurate-spatial-gene-expression-prediction-by-integrating-multi-resolution-feat__通过集成多分辨率特征进行准确的空间基因表达预测,Accurate Spatial Gene Expression Prediction by Integrating Multi-Resolution Features,Accurate Spatial Gene Expression Prediction by Integrating Multi-Resolution Features.pdf,2232853,https://openaccess.thecvf.com/content/CVPR2024/papers/Chung_Accurate_Spatial_Gene_Expression_Prediction_by_Integrating_Multi-Resolution_Features_CVPR_2024_paper.pdf,skipped_exists
action-detection-via-an-image-diffusion-process__通过图像扩散过程进行动作检测,Action Detection via an Image Diffusion Process,Action Detection via an Image Diffusion Process.pdf,916300,https://openaccess.thecvf.com/content/CVPR2024/papers/Foo_Action_Detection_via_an_Image_Diffusion_Process_CVPR_2024_paper.pdf,skipped_exists
activedc-distribution-calibration-for-active-finetuning__ActiveDC主动微调的分布校准,ActiveDC: Distribution Calibration for Active Finetuning,ActiveDC Distribution Calibration for Active Finetuning.pdf,5626725,https://openaccess.thecvf.com/content/CVPR2024/papers/Xu_ActiveDC_Distribution_Calibration_for_Active_Finetuning_CVPR_2024_paper.pdf,skipped_exists
activity-biometrics-person-identification-from-daily-activities__活动生物识别日常活动中的人员识别,Activity-Biometrics: Person Identification from Daily Activities,Activity-Biometrics Person Identification from Daily Activities.pdf,589746,https://openaccess.thecvf.com/content/CVPR2024/papers/Azad_Activity-Biometrics_Person_Identification_from_Daily_Activities_CVPR_2024_paper.pdf,skipped_exists
adapt-before-comparison-a-new-perspective-on-cross-domain-few-shot-segmentation__先适应后比较跨域少样本分割的新视角,Adapt Before Comparison A New Perspective on Cross-Domain Few-Shot Segmentation,Adapt Before Comparison A New Perspective on Cross-Domain Few-Shot Segmentation.pdf,4850446,NOT_SPECIFIED,NOT_SPECIFIED
adapt-or-perish-adaptive-sparse-transformer-with-attentive-feature-refinement-fo__适应或灭亡自适应稀疏变换器具有用于图像恢复的细致,Adapt or Perish: Adaptive Sparse Transformer with Attentive Feature Refinement for Image Restoration,Adapt or Perish Adaptive Sparse Transformer with Attentive Feature Refinement for Image Restoration.pdf,1568851,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhou_Adapt_or_Perish_Adaptive_Sparse_Transformer_with_Attentive_Feature_Refinement_CVPR_2024_paper.pdf,skipped_exists
adapting-to-length-shift-flexilength-network-for-trajectory-prediction__适应长度变化用于轨迹预测的FlexiLength,Adapting to Length Shift: FlexiLength Network for Trajectory Prediction,Adapting to Length Shift FlexiLength Network for Trajectory Prediction.pdf,3049438,https://openaccess.thecvf.com/content/CVPR2024/papers/Xu_Adapting_to_Length_Shift_FlexiLength_Network_for_Trajectory_Prediction_CVPR_2024_paper.pdf,skipped_exists
adapting-visual-language-models-for-generalizable-anomaly-detection-in-medical-i__采用视觉语言模型进行医学图像中的通用异常检测,Adapting Visual-Language Models for Generalizable Anomaly Detection in Medical Images,Adapting Visual-Language Models for Generalizable Anomaly Detection in Medical Images.pdf,6823183,https://openaccess.thecvf.com/content/CVPR2024/papers/Huang_Adapting_Visual-Language_Models_for_Generalizable_Anomaly_Detection_in_Medical_Images_CVPR_2024_paper.pdf,skipped_exists
adaptive-random-feature-regularization-on-fine-tuning-deep-neural-networks__微调深度神经网络的自适应随机特征正则化,Adaptive Random Feature Regularization on Fine-tuning Deep Neural Networks,Adaptive Random Feature Regularization on Fine-tuning Deep Neural Networks.pdf,1319439,https://openaccess.thecvf.com/content/CVPR2024/papers/Yamaguchi_Adaptive_Random_Feature_Regularization_on_Fine-tuning_Deep_Neural_Networks_CVPR_2024_paper.pdf,skipped_exists
adaptive-slot-attention-object-discovery-with-dynamic-slot-number__自适应槽注意具有动态槽号的对象发现,Adaptive Slot Attention: Object Discovery with Dynamic Slot Number,Adaptive Slot Attention Object Discovery with Dynamic Slot Number.pdf,2606298,https://openaccess.thecvf.com/content/CVPR2024/papers/Fan_Adaptive_Slot_Attention_Object_Discovery_with_Dynamic_Slot_Number_CVPR_2024_paper.pdf,skipped_exists
adaptive-softassign-via-hadamard-equipped-sinkhorn__通过配备Hadamard的Sinkhorn进行自,Adaptive Softassign via Hadamard-Equipped Sinkhorn,Adaptive Softassign via Hadamard-Equipped Sinkhorn.pdf,1120792,https://openaccess.thecvf.com/content/CVPR2024/papers/Shen_Adaptive_Softassign_via_Hadamard-Equipped_Sinkhorn_CVPR_2024_paper.pdf,downloaded
adaptive-vio-deep-visual-inertial-odometry-with-online-continual-learning__自适应VIO具有在线持续学习的深度视觉惯性里程计,Adaptive VIO: Deep Visual-Inertial Odometry with Online Continual Learning,Adaptive VIO Deep Visual-Inertial Odometry with Online Continual Learning.pdf,25025737,https://openaccess.thecvf.com/content/CVPR2024/papers/Pan_Adaptive_VIO_Deep_Visual-Inertial_Odometry_with_Online_Continual_Learning_CVPR_2024_paper.pdf,skipped_exists
ada-track-end-to-end-multi-camera-3d-multi-object-tracking-with-alternating-dete__ADA-Track具有交替检测和关联功能的端到端,ADA-Track: End-to-End Multi-Camera 3D Multi-Object Tracking with Alternating Detection and Association,ADA-Track End-to-End Multi-Camera 3D Multi-Object Tracking with Alternating Detection and Association.pdf,722952,https://openaccess.thecvf.com/content/CVPR2024/papers/Ding_ADA-Track_End-to-End_Multi-Camera_3D_Multi-Object_Tracking_with_Alternating_Detection_and_CVPR_2024_paper.pdf,skipped_exists
adfactory-an-effective-framework-for-generalizing-optical-flow-with-nerf__ADFactory使用NeRF泛化光流的有效框架,ADFactory: An Effective Framework for Generalizing Optical Flow with NeRF,ADFactory An Effective Framework for Generalizing Optical Flow with NeRF.pdf,2739981,https://openaccess.thecvf.com/content/CVPR2024/papers/Ling_ADFactory_An_Effective_Framework_for_Generalizing_Optical_Flow_with_NeRF_CVPR_2024_paper.pdf,skipped_exists
adversarial-distillation-based-on-slack-matching-and-attribution-region-alignmen__基于松弛匹配和归因区域对齐的对抗性蒸馏,Adversarial Distillation Based on Slack Matching and Attribution Region Alignment,Adversarial Distillation Based on Slack Matching and Attribution Region Alignment.pdf,2709040,https://openaccess.thecvf.com/content/CVPR2024/papers/Yin_Adversarial_Distillation_Based_on_Slack_Matching_and_Attribution_Region_Alignment_CVPR_2024_paper.pdf,downloaded
adversarially-robust-few-shot-learning-via-parameter-co-distillation-of-similari__通过相似性和类概念学习器的参数共同蒸馏实现对抗性,Adversarially Robust Few-shot Learning via Parameter Co-distillation of Similarity and Class Concept Learners,Adversarially Robust Few-shot Learning via Parameter Co-distillation of Similarity and Class Concept Learners.pdf,3381439,https://openaccess.thecvf.com/content/CVPR2024/papers/Dong_Adversarially_Robust_Few-shot_Learning_via_Parameter_Co-distillation_of_Similarity_and_CVPR_2024_paper.pdf,downloaded
aerial-lifting-neural-urban-semantic-and-building-instance-lifting-from-aerial-i__空中提升从航空图像提升神经城市语义和建筑实例,Aerial Lifting: Neural Urban Semantic and Building Instance Lifting from Aerial Imagery,Aerial Lifting Neural Urban Semantic and Building Instance Lifting from Aerial Imagery.pdf,7795967,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_Aerial_Lifting_Neural_Urban_Semantic_and_Building_Instance_Lifting_from_CVPR_2024_paper.pdf,skipped_exists
affine-equivariant-networks-based-on-differential-invariants__基于微分不变量的仿射等变网络,Affine Equivariant Networks Based on Differential Invariants,Affine Equivariant Networks Based on Differential Invariants.pdf,1333304,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Affine_Equivariant_Networks_Based_on_Differential_Invariants_CVPR_2024_paper.pdf,skipped_exists
aios-all-in-one-stage-expressive-human-pose-and-shape-estimation__AiOS多合一阶段富有表现力的人体姿势和形状估计,AiOS: All-in-One-Stage Expressive Human Pose and Shape Estimation,AiOS All-in-One-Stage Expressive Human Pose and Shape Estimation.pdf,9016548,https://openaccess.thecvf.com/content/CVPR2024/papers/Sun_AiOS_All-in-One-Stage_Expressive_Human_Pose_and_Shape_Estimation_CVPR_2024_paper.pdf,skipped_exists
airplanes-accurate-plane-estimation-via-3d-consistent-embeddings__AirPlanes通过3D一致嵌入进行准确的平面,AirPlanes: Accurate Plane Estimation via 3D-Consistent Embeddings,AirPlanes Accurate Plane Estimation via 3D-Consistent Embeddings.pdf,6749607,https://openaccess.thecvf.com/content/CVPR2024/papers/Watson_AirPlanes_Accurate_Plane_Estimation_via_3D-Consistent_Embeddings_CVPR_2024_paper.pdf,skipped_exists
alchemist-parametric-control-of-material-properties-with-diffusion-models__Alchemist使用扩散模型对材料特性进行参数,Alchemist Parametric Control of Material Properties with Diffusion Models,Alchemist Parametric Control of Material Properties with Diffusion Models.pdf,6640040,NOT_SPECIFIED,NOT_SPECIFIED
aligning-and-prompting-everything-all-at-once-for-universal-visual-perception__一次性调整和提示所有内容以实现通用视觉感知,Aligning and Prompting Everything All at Once for Universal Visual Perception,Aligning and Prompting Everything All at Once for Universal Visual Perception.pdf,1683145,https://openaccess.thecvf.com/content/CVPR2024/papers/Shen_Aligning_and_Prompting_Everything_All_at_Once_for_Universal_Visual_CVPR_2024_paper.pdf,skipped_exists
aligning-logits-generatively-for-principled-black-box-knowledge-distillation__生成性地对齐Logits以实现有原则的黑盒知识蒸,Aligning Logits Generatively for Principled Black-Box Knowledge Distillation,Aligning Logits Generatively for Principled Black-Box Knowledge Distillation.pdf,7008209,https://openaccess.thecvf.com/content/CVPR2024/papers/Ma_Aligning_Logits_Generatively_for_Principled_Black-Box_Knowledge_Distillation_CVPR_2024_paper.pdf,skipped_exists
alignsam-aligning-segment-anything-model-to-open-context-via-reinforcement-learn__AlignSAM通过强化学习将分段任何模型与开放,AlignSAM: Aligning Segment Anything Model to Open Context via Reinforcement Learning,AlignSAM Aligning Segment Anything Model to Open Context via Reinforcement Learning.pdf,3468955,https://openaccess.thecvf.com/content/CVPR2024/papers/Huang_AlignSAM_Aligning_Segment_Anything_Model_to_Open_Context_via_Reinforcement_CVPR_2024_paper.pdf,skipped_exists
alpha-clip-a-clip-model-focusing-on-wherever-you-want__Alpha-CLIP专注于您想要的任何地方的CL,Alpha-CLIP: A CLIP Model Focusing on Wherever You Want,Alpha-CLIP A CLIP Model Focusing on Wherever You Want.pdf,5242592,https://openaccess.thecvf.com/content/CVPR2024/papers/Sun_Alpha-CLIP_A_CLIP_Model_Focusing_on_Wherever_You_Want_CVPR_2024_paper.pdf,skipped_exists
amodal-completion-via-progressive-mixed-context-diffusion__通过渐进混合上下文扩散的非模态完成,Amodal Completion via Progressive Mixed Context Diffusion,Amodal Completion via Progressive Mixed Context Diffusion.pdf,5954662,https://openaccess.thecvf.com/content/CVPR2024/papers/Xu_Amodal_Completion_via_Progressive_Mixed_Context_Diffusion_CVPR_2024_paper.pdf,skipped_exists
an-aggregation-free-federated-learning-for-tackling-data-heterogeneity__用于解决数据异构性的无聚合联邦学习,An Aggregation-Free Federated Learning for Tackling Data Heterogeneity,An Aggregation-Free Federated Learning for Tackling Data Heterogeneity.pdf,2742336,https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_An_Aggregation-Free_Federated_Learning_for_Tackling_Data_Heterogeneity_CVPR_2024_paper.pdf,skipped_exists
an-empirical-study-of-scaling-law-for-scene-text-recognition__场景文本识别缩放规律的实证研究,An Empirical Study of Scaling Law for Scene Text Recognition,An Empirical Study of Scaling Law for Scene Text Recognition.pdf,591208,https://openaccess.thecvf.com/content/CVPR2024/papers/Rang_An_Empirical_Study_of_Scaling_Law_for_Scene_Text_Recognition_CVPR_2024_paper.pdf,skipped_exists
an-upload-efficient-scheme-for-transferring-knowledge-from-a-server-side-pre-tra__异构联邦学习中将知识从服务器端预训练生成器传输到,An Upload-Efficient Scheme for Transferring Knowledge From a Server-Side Pre-trained Generator to Clients in Heterogeneous Federated Learning,An Upload-Efficient Scheme for Transferring Knowledge From a Server-Side Pre-trained Generator to Clients in Heterogeneous Federated Learning.pdf,9106023,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_An_Upload-Efficient_Scheme_for_Transferring_Knowledge_From_a_Server-Side_Pre-trained_CVPR_2024_paper.pdf,skipped_exists
anatomically-constrained-implicit-face-models__解剖学约束的隐式面部模型,Anatomically Constrained Implicit Face Models,Anatomically Constrained Implicit Face Models.pdf,8911113,https://openaccess.thecvf.com/content/CVPR2024/papers/Chandran_Anatomically_Constrained_Implicit_Face_Models_CVPR_2024_paper.pdf,skipped_exists
apisr-anime-production-inspired-real-world-anime-super-resolution__APISR动漫制作启发现实世界动漫超分辨率,APISR: Anime Production Inspired Real-World Anime Super-Resolution,APISR Anime Production Inspired Real-World Anime Super-Resolution.pdf,9733225,https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_APISR_Anime_Production_Inspired_Real-World_Anime_Super-Resolution_CVPR_2024_paper.pdf,skipped_exists
apseg-auto-prompt-network-for-cross-domain-few-shot-semantic-segmentation__APSeg跨域少样本语义分割的自动提示网络,APSeg: Auto-Prompt Network for Cross-Domain Few-Shot Semantic Segmentation,APSeg Auto-Prompt Network for Cross-Domain Few-Shot Semantic Segmentation.pdf,1422877,https://openaccess.thecvf.com/content/CVPR2024/papers/He_APSeg_Auto-Prompt_Network_for_Cross-Domain_Few-Shot_Semantic_Segmentation_CVPR_2024_paper.pdf,skipped_exists
arbitrary-scale-image-generation-and-upsampling-using-latent-diffusion-model-and__使用潜在扩散模型和隐式神经解码器的任意尺度图像生,Arbitrary-Scale Image Generation and Upsampling using Latent Diffusion Model and Implicit Neural Decoder,Arbitrary-Scale Image Generation and Upsampling using Latent Diffusion Model and Implicit Neural Decoder.pdf,5198678,https://openaccess.thecvf.com/content/CVPR2024/papers/Kim_Arbitrary-Scale_Image_Generation_and_Upsampling_using_Latent_Diffusion_Model_and_CVPR_2024_paper.pdf,skipped_exists
artadapter-text-to-image-style-transfer-using-multi-level-style-encoder-and-expl__ArtAdapter使用多级样式编码器和显式适应,ArtAdapter: Text-to-Image Style Transfer using Multi-Level Style Encoder and Explicit Adaptation,ArtAdapter Text-to-Image Style Transfer using Multi-Level Style Encoder and Explicit Adaptation.pdf,9372013,https://openaccess.thecvf.com/content/CVPR2024/papers/Chen_ArtAdapter_Text-to-Image_Style_Transfer_using_Multi-Level_Style_Encoder_and_Explicit_CVPR_2024_paper.pdf,skipped_exists
artist-friendly-relightable-and-animatable-neural-heads__艺术家友好的可重新点亮和可动画的神经头,Artist-Friendly Relightable and Animatable Neural Heads,Artist-Friendly Relightable and Animatable Neural Heads.pdf,2669472,https://openaccess.thecvf.com/content/CVPR2024/papers/Xu_Artist-Friendly_Relightable_and_Animatable_Neural_Heads_CVPR_2024_paper.pdf,skipped_exists
ash-animatable-gaussian-splats-for-efficient-and-photoreal-human-rendering__ASH可动画的高斯斑点用于高效且真实的人体渲染,ASH: Animatable Gaussian Splats for Efficient and Photoreal Human Rendering,ASH Animatable Gaussian Splats for Efficient and Photoreal Human Rendering.pdf,5909057,https://openaccess.thecvf.com/content/CVPR2024/papers/Pang_ASH_Animatable_Gaussian_Splats_for_Efficient_and_Photoreal_Human_Rendering_CVPR_2024_paper.pdf,skipped_exists
atlantis-enabling-underwater-depth-estimation-with-stable-diffusion__Atlantis通过稳定扩散实现水下深度估计,Atlantis: Enabling Underwater Depth Estimation with Stable Diffusion,Atlantis Enabling Underwater Depth Estimation with Stable Diffusion.pdf,9762400,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_Atlantis_Enabling_Underwater_Depth_Estimation_with_Stable_Diffusion_CVPR_2024_paper.pdf,skipped_exists
atom-level-optical-chemical-structure-recognition-with-limited-supervision__有限监督下的原子级光学化学结构识别,Atom-Level Optical Chemical Structure Recognition with Limited Supervision,Atom-Level Optical Chemical Structure Recognition with Limited Supervision.pdf,744980,https://openaccess.thecvf.com/content/CVPR2024/papers/Oldenhof_Atom-Level_Optical_Chemical_Structure_Recognition_with_Limited_Supervision_CVPR_2024_paper.pdf,skipped_exists
attention-calibration-for-disentangled-text-to-image-personalization__用于解开文本到图像个性化的注意力校准,Attention Calibration for Disentangled Text-to-Image Personalization,Attention Calibration for Disentangled Text-to-Image Personalization.pdf,5662088,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_Attention_Calibration_for_Disentangled_Text-to-Image_Personalization_CVPR_2024_paper.pdf,skipped_exists
attention-driven-training-free-efficiency-enhancement-of-diffusion-models__注意力驱动的免训练扩散模型效率提升,Attention-Driven Training-Free Efficiency Enhancement of Diffusion Models,Attention-Driven Training-Free Efficiency Enhancement of Diffusion Models.pdf,10479588,https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_Attention-Driven_Training-Free_Efficiency_Enhancement_of_Diffusion_Models_CVPR_2024_paper.pdf,skipped_exists
